, Media,Compound,Date,Negative,Neutral,Positive,Tweets_Ago
0,@BBC,0.3612,Wed Aug 01 06:12:13 +0000 2018,0.0,0.878,0.122,1
1,@BBC,0.4767,Wed Aug 01 06:12:07 +0000 2018,0.0,0.881,0.119,2
2,@BBC,0.0258,Wed Aug 01 06:11:55 +0000 2018,0.0,0.958,0.042,3
3,@BBC,0.4767,Wed Aug 01 06:11:49 +0000 2018,0.0,0.881,0.119,4
4,@BBC,0.4767,Wed Aug 01 06:11:43 +0000 2018,0.0,0.881,0.119,5
5,@BBC,0.0,Wed Aug 01 06:11:38 +0000 2018,0.0,1.0,0.0,6
6,@BBC,-0.1531,Wed Aug 01 06:11:25 +0000 2018,0.112,0.759,0.129,7
7,@BBC,0.4767,Wed Aug 01 06:10:59 +0000 2018,0.0,0.881,0.119,8
8,@BBC,0.2732,Wed Aug 01 06:10:52 +0000 2018,0.049,0.852,0.099,9
9,@BBC,0.4767,Wed Aug 01 06:10:46 +0000 2018,0.0,0.881,0.119,10
10,@BBC,0.4767,Wed Aug 01 06:10:46 +0000 2018,0.0,0.881,0.119,11
11,@BBC,0.4767,Wed Aug 01 06:10:45 +0000 2018,0.0,0.881,0.119,12
12,@BBC,0.4767,Wed Aug 01 06:10:19 +0000 2018,0.0,0.881,0.119,13
13,@BBC,0.4019,Wed Aug 01 06:09:41 +0000 2018,0.0,0.816,0.184,14
14,@BBC,0.2023,Wed Aug 01 06:09:20 +0000 2018,0.0,0.909,0.091,15
15,@BBC,0.7157,Wed Aug 01 06:08:58 +0000 2018,0.065,0.721,0.214,16
16,@BBC,-0.4215,Wed Aug 01 06:08:52 +0000 2018,0.271,0.542,0.187,17
17,@BBC,-0.8481,Wed Aug 01 06:08:36 +0000 2018,0.353,0.602,0.045,18
18,@BBC,0.3182,Wed Aug 01 06:08:33 +0000 2018,0.0,0.813,0.187,19
19,@BBC,0.7841,Wed Aug 01 06:08:02 +0000 2018,0.0,0.707,0.293,20
20,@BBC,0.5106,Wed Aug 01 06:07:44 +0000 2018,0.0,0.852,0.148,21
21,@BBC,0.6486,Wed Aug 01 06:07:15 +0000 2018,0.0,0.773,0.227,22
22,@BBC,-0.4215,Wed Aug 01 06:07:12 +0000 2018,0.271,0.542,0.187,23
23,@BBC,0.7841,Wed Aug 01 06:07:10 +0000 2018,0.0,0.707,0.293,24
24,@BBC,0.4767,Wed Aug 01 06:06:45 +0000 2018,0.0,0.881,0.119,25
25,@BBC,0.4767,Wed Aug 01 06:06:30 +0000 2018,0.0,0.881,0.119,26
26,@BBC,0.4767,Wed Aug 01 06:06:17 +0000 2018,0.0,0.881,0.119,27
27,@BBC,0.4767,Wed Aug 01 06:06:16 +0000 2018,0.0,0.881,0.119,28
28,@BBC,-0.5209,Wed Aug 01 06:05:51 +0000 2018,0.402,0.598,0.0,29
29,@BBC,-0.765,Wed Aug 01 06:05:03 +0000 2018,0.323,0.677,0.0,30
30,@BBC,-0.4215,Wed Aug 01 06:04:35 +0000 2018,0.271,0.542,0.187,31
31,@BBC,0.7841,Wed Aug 01 06:04:35 +0000 2018,0.0,0.707,0.293,32
32,@BBC,0.4767,Wed Aug 01 06:03:56 +0000 2018,0.0,0.881,0.119,33
33,@BBC,0.0,Wed Aug 01 06:03:52 +0000 2018,0.0,1.0,0.0,34
34,@BBC,-0.8442,Wed Aug 01 06:03:30 +0000 2018,0.431,0.569,0.0,35
35,@BBC,0.7841,Wed Aug 01 06:02:42 +0000 2018,0.0,0.707,0.293,36
36,@BBC,0.4767,Wed Aug 01 06:02:32 +0000 2018,0.0,0.881,0.119,37
37,@BBC,0.4767,Wed Aug 01 06:02:29 +0000 2018,0.0,0.881,0.119,38
38,@BBC,0.0,Wed Aug 01 06:02:16 +0000 2018,0.0,1.0,0.0,39
39,@BBC,0.5106,Wed Aug 01 06:02:09 +0000 2018,0.0,0.852,0.148,40
40,@BBC,-0.4023,Wed Aug 01 06:02:06 +0000 2018,0.172,0.828,0.0,41
41,@BBC,-0.5994,Wed Aug 01 06:01:57 +0000 2018,0.403,0.44,0.157,42
42,@BBC,0.4767,Wed Aug 01 06:01:52 +0000 2018,0.0,0.881,0.119,43
43,@BBC,0.4767,Wed Aug 01 06:01:31 +0000 2018,0.0,0.881,0.119,44
44,@BBC,0.0258,Wed Aug 01 06:01:08 +0000 2018,0.0,0.958,0.042,45
45,@BBC,0.0,Wed Aug 01 06:01:02 +0000 2018,0.0,1.0,0.0,46
46,@BBC,0.0,Wed Aug 01 06:00:55 +0000 2018,0.0,1.0,0.0,47
47,@BBC,-0.7964,Wed Aug 01 06:00:06 +0000 2018,0.269,0.731,0.0,48
48,@BBC,-0.6705,Wed Aug 01 05:59:56 +0000 2018,0.44,0.56,0.0,49
